Date,Open,High,Low,Close,neg,neu,pos,sentiment
2023-06-15,29.271,29.76,29.121,29.66,0.0,0.93625,0.06375,0.085
2023-06-16,29.93,29.94,29.51,29.53,0.0,0.90675,0.09325,0.2863
2023-06-20,29.391,29.391,28.972,29.221,0.0,0.741,0.259,0.5983
2023-06-21,29.221,29.221,28.692,28.882,0.0,1.0,0.0,0.0
2023-06-22,28.522,28.762,28.393,28.642,0.0,0.0,0.0,0.0
2023-06-23,28.053,28.133,27.809,27.884,0.0,0.953,0.047,0.1691
2023-06-26,27.954,28.158,27.674,27.704,0.0,1.0,0.0,0.0
2023-06-27,27.854,28.173,27.659,28.123,0.0,1.0,0.0,0.0
2023-06-28,28.057,28.453,28.043,28.353,0.0,0.0,0.0,0.0
2023-06-29,28.366,28.416,28.178,28.296,0.0,1.0,0.0,0.0
2023-06-30,28.616,28.906,28.606,28.736,0.0,0.7246666666666667,0.2753333333333333,0.3327
2023-07-03,28.916,28.946,28.776,28.866,0.0,1.0,0.0,0.0
2023-07-05,28.586,28.676,28.436,28.526,0.0,0.9256666666666667,0.0743333333333333,0.1284333333333333
2023-07-06,28.176,28.176,27.636,27.946,0.0,0.9695,0.0305,0.15285
2023-07-07,27.946,28.486,27.896,28.206,0.0557142857142857,0.886142857142857,0.0581428571428571,-0.0132428571428571
2023-07-10,28.076,28.566,28.076,28.566,0.0226666666666666,0.9386666666666666,0.0386666666666666,0.088
2023-07-11,28.746,28.896,28.626,28.886,0.0,1.0,0.0,0.0
2023-07-12,29.096,29.303,29.056,29.246,0.0,1.0,0.0,0.0
2023-07-13,29.646,29.916,29.526,29.866,0.0,1.0,0.0,0.0
2023-07-14,29.806,29.866,29.326,29.406,0.0228333333333333,0.8533333333333334,0.1238333333333333,0.1666333333333333
2023-07-17,29.496,29.836,29.326,29.776,0.0,1.0,0.0,0.0
2023-07-18,29.956,30.196,29.711,30.126,0.0,1.0,0.0,0.0
2023-07-19,30.256,30.256,29.846,29.936,0.0,0.526,0.474,0.4019
2023-07-20,29.726,29.726,29.046,29.126,0.0433333333333333,0.6653333333333333,0.2913333333333333,0.2573666666666667
2023-07-21,29.206,29.346,28.906,28.936,0.0,0.9464,0.0536,0.0591999999999999
2023-07-24,29.086,29.096,28.676,28.716,0.0,0.866,0.134,0.1779
2023-07-25,28.836,29.206,28.751,29.056,0.0,1.0,0.0,0.0
2023-07-26,29.076,29.381,28.916,29.246,0.0,0.9206666666666666,0.0793333333333333,0.1204
2023-07-27,29.726,29.776,28.886,28.966,0.0,1.0,0.0,0.0
2023-07-28,29.266,29.266,28.946,29.066,0.0,0.8985714285714286,0.1014285714285714,0.1329714285714285
2023-07-31,29.016,29.146,28.856,29.136,0.0,1.0,0.0,0.0
2023-08-01,28.876,28.896,28.438,28.726,0.0095,0.8161666666666667,0.1743333333333333,0.2978166666666667
2023-08-02,28.266,28.276,27.506,27.706,0.0,0.333,0.667,0.7184
2023-08-03,27.436,27.716,27.246,27.556,0.0,1.0,0.0,0.0
2023-08-04,27.866,27.936,27.481,27.526,0.0,0.80875,0.19125,0.2463
2023-08-07,27.726,27.726,27.396,27.606,0.02,0.6765,0.303,0.6274
2023-08-08,27.316,27.316,26.946,27.116,0.0,1.0,0.0,0.0
2023-08-09,26.971,26.986,26.406,26.516,0.08975,0.84975,0.0605,0.0181
2023-08-10,26.756,27.026,26.476,26.566,0.0,1.0,0.0,0.0
2023-08-11,26.366,26.446,26.196,26.286,0.0,1.0,0.0,0.0
2023-08-14,26.156,26.586,26.016,26.586,0.0,0.8225,0.1775,0.2553
2023-08-15,26.476,26.636,26.276,26.286,0.193,0.807,0.0,-0.4767
2023-08-16,26.186,26.216,25.806,25.806,0.10075,0.83525,0.064,0.0187
2023-08-17,25.876,25.926,25.316,25.376,0.0,0.724,0.276,0.6369
2023-08-18,25.106,25.496,25.096,25.416,0.0,0.9102,0.0898,0.14397
2023-08-21,25.456,25.746,25.316,25.696,0.0,0.781,0.219,0.2047333333333333
2023-08-22,25.966,25.966,25.516,25.566,0.0,1.0,0.0,0.0
2023-08-23,25.746,26.167,25.701,26.106,0.0,1.0,0.0,0.0
2023-08-24,26.386,26.386,25.626,25.646,0.0,0.0,0.0,0.0
2023-08-25,25.736,25.996,25.411,25.776,0.0,0.8983000000000001,0.1016999999999999,0.16352
2023-08-28,26.006,26.171,25.871,26.126,0.0,0.82,0.18,0.296
2023-08-29,26.006,26.633,25.906,26.606,0.0,1.0,0.0,0.0
2023-08-30,26.706,26.916,26.606,26.826,0.0,0.794,0.206,0.31845
2023-08-31,26.886,26.956,26.666,26.726,0.0,0.9056,0.0944,0.131
2023-09-01,26.996,27.046,26.646,26.726,0.1515,0.4835,0.365,0.2912499999999999
2023-09-05,26.696,26.696,26.451,26.576,0.111,0.8889999999999999,0.0,-0.1529333333333333
2023-09-06,26.526,26.696,26.301,26.456,0.0,1.0,0.0,0.0
2023-09-07,26.206,26.206,25.886,26.146,0.0,0.9818,0.0182,0.00516
2023-09-08,26.086,26.136,25.836,25.866,0.0,0.8300000000000001,0.1699999999999999,0.30605
2023-09-11,26.056,26.056,25.746,25.956,0.0,1.0,0.0,0.0
2023-09-12,25.736,25.996,25.646,25.786,0.0,1.0,0.0,0.0
2023-09-13,25.656,25.756,25.546,25.626,0.0,0.86675,0.1332499999999999,0.184925
2023-09-14,25.876,25.935,25.636,25.786,0.0,1.0,0.0,0.0
2023-09-15,25.746,25.786,25.336,25.416,0.0613999999999999,0.7958000000000001,0.1427999999999999,0.12228
2023-09-18,25.296,25.577,25.296,25.506,0.0,0.0,0.0,0.0
2023-09-19,25.456,25.456,25.196,25.366,0.0,0.9513333333333334,0.0486666666666666,0.1127333333333333
2023-09-20,25.566,25.666,25.061,25.086,0.0,0.7386666666666667,0.2613333333333333,0.4831333333333333
2023-09-21,24.747,24.747,24.447,24.457,0.0,0.789,0.211,0.4939
2023-09-22,24.647,24.747,24.497,24.567,0.0137777777777777,0.9495555555555556,0.0366666666666666,-0.0044999999999999
2023-09-25,24.407,24.617,24.327,24.617,0.0,1.0,0.0,0.0
2023-09-26,24.297,24.417,24.087,24.117,0.0,1.0,0.0,0.0
2023-09-27,24.357,24.507,24.142,24.407,0.0,0.932,0.068,0.1336166666666667
2023-09-28,24.547,24.817,24.387,24.707,0.0,0.7239999999999999,0.2759999999999999,0.1953
2023-09-29,25.026,25.051,24.652,24.717,0.0,0.9694,0.0306,0.04046
2023-10-02,24.797,24.897,24.602,24.697,0.021,0.644,0.3349999999999999,0.68495
2023-10-03,24.407,24.537,24.027,24.137,0.0,0.9591666666666666,0.0408333333333333,0.0636333333333333
2023-10-04,24.237,24.37,24.017,24.347,0.1082,0.7474999999999999,0.1442,0.19273
2023-10-05,24.377,24.487,24.204,24.427,0.0214,0.7841333333333333,0.1944,0.2870266666666667
2023-10-06,24.177,24.767,24.127,24.727,0.0,1.0,0.0,0.0
2023-10-09,24.527,24.677,24.322,24.597,0.0,0.7676666666666666,0.2323333333333333,0.1149333333333333
2023-10-10,24.657,25.046,24.657,24.897,0.0,0.768,0.232,0.1909
2023-10-11,24.927,24.996,24.582,24.757,0.0,0.7919999999999999,0.208,0.1932666666666666
2023-10-12,24.927,24.996,24.49,24.527,0.0,1.0,0.0,0.0
2023-10-13,24.527,24.647,24.207,24.287,0.0,0.8570909090909091,0.1429090909090909,0.1453545454545454
2023-10-16,24.207,24.537,24.177,24.497,0.0504,0.8907999999999999,0.0588,0.0712
2023-10-17,24.217,24.667,24.117,24.477,0.0,0.778,0.222,0.2463
2023-10-18,24.127,24.157,23.682,23.707,0.1343333333333333,0.7516666666666666,0.114,-0.0067
2023-10-19,23.737,23.892,23.467,23.517,0.545,0.455,0.0,-0.34
2023-10-20,23.297,23.347,22.977,23.047,0.0,0.92425,0.07575,0.099675
2023-10-23,22.867,23.357,22.777,23.147,0.0,1.0,0.0,0.0
2023-10-24,23.197,23.387,23.137,23.327,0.0,0.937,0.063,0.100475
2023-10-25,23.247,23.327,22.737,22.737,0.1343333333333333,0.735,0.1306666666666666,0.1125999999999999
2023-10-26,22.617,22.797,22.273,22.407,0.0225555555555555,0.8705555555555555,0.1067777777777777,0.1954777777777777
2023-10-27,22.627,22.627,22.257,22.337,0.0,0.9457,0.0543,0.03504
2023-10-30,22.607,22.698,22.397,22.527,0.0,0.0,0.0,0.0
2023-10-31,22.557,22.817,22.467,22.767,0.0,0.909,0.091,0.125
2023-11-01,22.817,23.107,22.769,23.097,0.0,0.803,0.197,0.4019
2023-11-02,23.557,23.877,23.547,23.847,0.0761428571428571,0.6824285714285715,0.2414285714285714,0.1621285714285714
2023-11-03,24.207,24.507,24.107,24.447,0.0,0.7426666666666666,0.2573333333333333,0.3092666666666666
2023-11-06,24.727,24.727,24.282,24.427,0.0,0.8595,0.1404999999999999,0.2209833333333333
2023-11-07,24.267,24.497,24.227,24.387,0.0,0.9425,0.0575,0.0386
2023-11-08,24.297,24.427,24.187,24.307,0.0,0.914,0.086,0.0683
2023-11-09,24.617,24.737,24.157,24.187,0.0,0.9754285714285712,0.0245714285714285,0.0516
2023-11-10,24.317,24.567,24.157,24.567,0.0,0.7701666666666668,0.2298333333333333,0.3773333333333333
2023-11-13,24.487,24.662,24.367,24.607,0.0,1.0,0.0,0.0
2023-11-14,25.296,25.546,25.207,25.526,0.0,1.0,0.0,0.0
2023-11-15,25.726,25.911,25.55,25.636,0.0,1.0,0.0,0.0
2023-11-16,25.536,25.686,25.451,25.676,0.0,1.0,0.0,0.0
2023-11-17,25.786,25.906,25.746,25.846,0.138,0.8165,0.0455,-0.053475
2023-11-20,25.976,26.316,25.922,26.226,0.0,0.9636,0.0364,0.08808
2023-11-21,26.226,26.346,26.146,26.256,0.0,0.0,0.0,0.0
2023-11-22,26.396,26.476,26.066,26.246,0.0,0.72175,0.27825,0.3447
2023-11-24,26.196,26.286,26.136,26.236,0.0557368421052631,0.829,0.1152631578947368,0.1316157894736842
2023-11-27,26.186,26.284,26.086,26.246,0.0725,0.882,0.0455,0.02983
2023-11-28,26.136,26.286,26.056,26.156,0.0285,0.8918333333333334,0.0796666666666666,0.113425
2023-11-29,26.436,26.686,26.436,26.526,0.0,0.9031,0.0969,0.10445
2023-11-30,26.706,26.706,26.356,26.426,0.0573999999999999,0.9252,0.0174,-0.0128699999999999
2023-12-01,26.376,27.031,26.316,27.026,0.05825,0.8518333333333333,0.0899166666666666,0.0711333333333333
2023-12-04,26.686,26.866,26.479,26.716,0.02575,0.7705,0.20375,0.0996749999999999
2023-12-05,26.556,26.646,26.386,26.566,0.0,0.8057000000000001,0.1943,0.20066
2023-12-06,26.796,26.846,26.346,26.356,0.0,0.9091,0.0909,0.08718
2023-12-07,26.396,26.554,26.236,26.546,0.0408888888888888,0.8723333333333333,0.0867777777777777,0.0288111111111111
2023-12-08,26.506,26.766,26.376,26.716,0.036625,0.897375,0.066,0.0373937499999999
2023-12-11,26.726,26.871,26.666,26.836,0.0217777777777777,0.8583333333333333,0.1198888888888888,0.2025777777777777
2023-12-12,26.796,26.976,26.676,26.976,0.0186666666666666,0.8667777777777778,0.1145555555555555,0.1369666666666666
2023-12-13,27.006,27.486,26.731,27.436,0.0,0.9289,0.0711,0.0820999999999999
2023-12-14,27.706,28.026,27.616,27.916,0.0706,0.826,0.1033999999999999,0.0436999999999999
2023-12-15,28.236,28.436,28.126,28.186,0.0273928571428571,0.9288214285714286,0.0438214285714285,0.0450821428571428
2023-12-18,28.206,28.321,28.066,28.246,0.0,0.943,0.057,0.0650625
2023-12-19,28.426,28.596,28.396,28.586,0.0832857142857142,0.7738571428571428,0.1428571428571428,0.0427428571428571
2023-12-20,28.626,28.636,27.896,27.906,0.0238999999999999,0.9168,0.0593,0.0582899999999999
2023-12-21,28.336,28.496,28.181,28.496,0.0928181818181818,0.8186363636363637,0.0885454545454545,0.0465727272727272
2023-12-22,28.606,28.606,28.251,28.386,0.0224482758620689,0.8904827586206897,0.0870689655172413,0.0779103448275862
2023-12-26,28.466,28.656,28.396,28.606,0.0,0.7907,0.2092999999999999,0.27606
2023-12-27,28.716,28.716,28.536,28.686,0.0395714285714285,0.8612857142857143,0.0991428571428571,0.0547
2023-12-28,28.76,28.85,28.68,28.72,0.0235454545454545,0.8656363636363636,0.1107272727272727,0.1054636363636363
2023-12-29,28.74,28.77,28.39,28.5,0.0321935483870967,0.8573870967741936,0.1104193548387096,0.0687354838709677
2024-01-02,28.22,28.22,27.625,27.71,0.1944999999999999,0.6105,0.1949999999999999,0.1777666666666666
2024-01-03,27.32,27.37,26.9,26.93,0.0364444444444444,0.910888888888889,0.0526666666666666,-0.0450555555555555
2024-01-04,26.88,27.055,26.74,26.87,0.0,0.869,0.131,0.2282571428571428
2024-01-05,26.76,27.077,26.69,26.84,0.0493333333333333,0.8388888888888888,0.1117777777777777,0.059974074074074
2024-01-08,26.99,27.72,26.97,27.7,0.0341538461538461,0.8895384615384615,0.0763076923076923,0.0990153846153846
2024-01-09,27.65,27.91,27.48,27.73,0.0,0.827,0.173,0.2272374999999999
2024-01-10,28.12,28.465,28.12,28.41,0.0948333333333333,0.8389166666666666,0.06625,0.049675
2024-01-11,28.69,28.78,28.29,28.68,0.0567777777777777,0.8558888888888889,0.0873333333333333,0.0667333333333333
2024-01-12,28.93,29.095,28.75,28.79,0.0162380952380952,0.8761428571428572,0.1076190476190476,0.1395190476190476
2024-01-16,28.66,28.78,28.461,28.59,0.0556999999999999,0.8077,0.1366,0.01384
2024-01-17,28.21,28.21,27.8,28.14,0.0425555555555555,0.9048888888888889,0.0525555555555555,0.0076999999999999
2024-01-18,28.45,28.46,28.145,28.45,0.0324,0.9262,0.0414,0.0568499999999999
2024-01-19,28.49,28.72,28.22,28.71,0.0029583333333333,0.9010416666666666,0.0959999999999999,0.1162416666666666
2024-01-22,28.96,29.24,28.96,29.07,0.0102222222222222,0.9704444444444444,0.0194444444444444,0.0370999999999999
2024-01-23,29.15,29.18,28.885,29.05,0.011,0.9347857142857142,0.0542142857142857,0.0805642857142857
2024-01-24,29.27,29.3,28.845,28.86,0.0936,0.8314,0.075,-0.0045599999999999
2024-01-25,29.09,29.24,28.882,29.0,0.032,0.9241,0.0439,0.05765
2024-01-26,29.05,29.325,29.04,29.2,0.0480344827586206,0.9303103448275862,0.0216551724137931,-0.0068655172413793
2024-01-29,29.07,29.56,28.99,29.56,0.0678571428571428,0.8904285714285715,0.0417142857142857,-0.0374428571428571
2024-01-30,29.46,29.47,29.2,29.23,0.018375,0.945125,0.036375,0.0232
2024-01-31,29.01,29.14,28.57,28.58,0.0,0.8585714285714285,0.1414285714285714,0.1492428571428571
2024-02-01,28.83,29.14,28.705,29.13,0.0,0.8989,0.1011,0.15569
2024-02-02,29.03,29.42,28.9,29.39,0.0212592592592592,0.8200370370370371,0.1587037037037037,0.1989444444444444
2024-02-05,29.31,29.38,29.0,29.3,0.0098571428571428,0.8265714285714285,0.1635714285714285,0.2593142857142857
2024-02-06,29.2,29.2,28.765,29.07,0.0,0.8895,0.1105,0.1749388888888889
2024-02-07,29.11,29.35,29.0,29.32,0.0,0.855,0.145,0.2411
2024-02-08,29.32,29.47,29.13,29.37,0.0364545454545454,0.8287272727272726,0.1348181818181818,0.1161
2024-02-09,29.59,29.95,29.53,29.91,0.0371176470588235,0.8034705882352942,0.1594411764705882,0.1216705882352941
2024-02-12,30.0,30.32,29.86,29.99,0.0514666666666666,0.8196,0.1289333333333333,0.12622
2024-02-13,29.23,29.63,28.85,29.28,0.0114666666666666,0.8300666666666667,0.1584666666666666,0.1485333333333333
2024-02-14,29.7,29.9,29.51,29.89,0.0197,0.6949,0.2854,0.31008
2024-02-15,30.13,30.24,30.015,30.14,0.0196551724137931,0.8735172413793104,0.1068275862068965,0.2161275862068965
2024-02-16,30.3,30.3,29.84,29.97,0.0194774193548387,0.873825806451613,0.1067032258064516,0.1269135483870968
2024-02-20,30.07,30.08,29.555,29.82,0.0216739130434782,0.9035217391304348,0.0748043478260869,0.1287108695652174
2024-02-21,29.67,29.67,29.24,29.46,0.0321923076923076,0.8707692307692307,0.0970961538461538,0.0943846153846153
2024-02-22,30.58,30.8,30.38,30.76,0.0367659574468085,0.8724468085106384,0.0907872340425532,0.0777085106382978
2024-02-23,30.97,31.14,30.61,30.73,0.0207398373983739,0.8930813008130082,0.086170731707317,0.1225495934959349
2024-02-26,31.18,31.18,30.88,31.01,0.0257209302325581,0.8843255813953489,0.089953488372093,0.0610302325581395
2024-02-27,31.33,31.34,30.97,31.14,0.0559729729729729,0.8744864864864865,0.0695675675675675,-0.0069594594594594
2024-02-28,31.0,31.02,30.69,30.81,0.0464814814814814,0.9050370370370372,0.0484814814814814,-0.0089185185185185
2024-02-29,31.1,31.338,30.98,31.18,0.0503666666666666,0.8568666666666667,0.0927666666666666,0.0797533333333333
2024-03-01,31.38,31.761,31.13,31.74,0.0338235294117647,0.8888039215686274,0.0773627450980392,0.0632656862745098
2024-03-04,32.03,32.265,31.88,31.97,0.02025,0.88971875,0.09003125,0.1384375
2024-03-05,31.97,32.045,31.51,31.7,0.0393589743589743,0.9093846153846156,0.0512564102564102,0.0531666666666666
2024-03-06,32.26,32.58,32.04,32.35,0.038,0.8413846153846154,0.1206410256410256,0.1148820512820513
2024-03-07,32.69,32.92,32.51,32.89,0.0812142857142857,0.8359761904761904,0.0828095238095238,-0.0152071428571428
2024-03-08,33.26,33.595,32.27,32.38,0.0327849462365591,0.9024193548387096,0.0648064516129032,0.0631118279569892
2024-03-11,32.16,32.16,31.78,31.84,0.0252249999999999,0.8683249999999999,0.1064249999999999,0.1278524999999999
2024-03-12,31.98,32.35,31.6,32.35,0.0225,0.8312,0.1463333333333333,0.1886666666666666
2024-03-13,32.175,32.21,31.94,32.08,0.0270487804878048,0.9006097560975609,0.0723414634146341,0.0851853658536585
2024-03-14,32.11,32.11,31.33,31.56,0.0323055555555555,0.9262222222222224,0.0414722222222222,0.0257777777777777
2024-03-15,31.52,31.79,31.455,31.65,0.0368585858585858,0.8451414141414141,0.118010101010101,0.1072343434343434
2024-03-18,32.09,32.19,31.82,31.87,0.0237199999999999,0.8984399999999999,0.07782,0.092444
