,Date,Open,High,Low,Close
0,2016/9/13,14.288,14.288,14.288,14.288
1,2016/9/19,14.346,14.375,14.336,14.365
2,2016/9/20,14.491,14.491,14.491,14.491
3,2016/9/22,14.888,14.898,14.801,14.83
4,2016/9/23,14.84,14.84,14.752,14.782
5,2016/9/26,14.665,14.665,14.549,14.549
6,2016/9/27,14.685,16.147,14.627,14.723
7,2016/9/28,14.801,14.82,14.723,14.82
8,2016/9/29,14.82,14.82,14.762,14.772
9,2016/9/30,14.791,14.82,14.714,14.82
10,2016/10/3,14.869,14.869,14.704,14.762
11,2016/10/4,14.898,14.898,14.762,14.762
12,2016/10/5,14.888,14.917,14.888,14.898
13,2016/10/6,14.908,14.908,14.811,14.849
14,2016/10/7,14.859,14.869,14.811,14.859
15,2016/10/10,14.946,14.956,14.917,14.927
16,2016/10/11,14.966,14.966,14.811,14.811
17,2016/10/12,14.82,14.82,14.694,14.752
18,2016/10/13,14.598,14.636,14.52,14.636
19,2016/10/14,14.685,14.694,14.636,14.636
20,2016/10/17,14.694,14.723,14.665,14.685
21,2016/10/18,14.878,14.878,14.791,14.801
22,2016/10/19,14.869,14.869,14.762,14.772
23,2016/10/20,14.772,14.811,14.762,14.811
24,2016/10/21,14.791,14.811,14.791,14.811
25,2016/10/24,14.946,14.946,14.791,14.811
26,2016/10/25,14.762,14.762,14.665,14.685
27,2016/10/26,14.665,14.694,14.646,14.685
28,2016/10/27,14.617,14.617,14.52,14.52
29,2016/10/28,14.578,14.607,14.539,14.578
30,2016/10/31,14.617,14.617,14.539,14.539
31,2016/11/1,14.559,14.559,14.472,14.472
32,2016/11/2,14.433,14.433,14.336,14.336
33,2016/11/3,14.51,14.51,14.356,14.394
34,2016/11/4,14.414,14.414,14.269,14.346
35,2016/11/7,14.588,14.588,14.491,14.501
36,2016/11/8,14.51,14.578,14.491,14.569
37,2016/11/9,14.327,14.598,14.327,14.578
38,2016/11/10,14.714,14.762,14.598,14.704
39,2016/11/11,14.685,14.704,14.665,14.685
40,2016/11/14,14.675,14.743,14.665,14.743
41,2016/11/15,14.694,14.782,14.694,14.782
42,2016/11/16,14.675,14.675,14.598,14.607
43,2016/11/17,14.772,14.859,14.704,14.859
44,2016/11/18,14.772,14.772,14.636,14.646
45,2016/11/21,14.694,14.733,14.646,14.694
46,2016/11/22,14.733,14.733,14.646,14.675
47,2016/11/23,14.675,14.704,14.569,14.704
48,2016/11/25,14.714,14.723,14.665,14.714
49,2016/11/28,14.772,14.772,14.665,14.704
50,2016/11/29,14.665,14.733,14.656,14.714
51,2016/11/30,14.665,14.714,14.559,14.598
52,2016/12/1,14.627,14.627,14.414,14.423
53,2016/12/2,14.346,14.356,14.22,14.356
54,2016/12/5,14.462,14.549,14.462,14.51
55,2016/12/6,14.501,14.51,14.404,14.482
56,2016/12/7,14.53,14.685,14.472,14.646
57,2016/12/8,14.752,14.752,14.636,14.733
58,2016/12/9,14.752,14.752,14.646,14.714
59,2016/12/12,14.704,14.704,14.549,14.559
60,2016/12/13,14.675,14.694,14.636,14.665
61,2016/12/14,14.656,14.656,14.423,14.423
62,2016/12/15,14.423,14.452,14.414,14.452
63,2016/12/16,14.462,14.462,14.356,14.375
64,2016/12/19,14.375,14.491,14.375,14.472
65,2016/12/20,14.53,14.53,14.462,14.491
66,2016/12/21,14.52,14.52,14.433,14.472
67,2016/12/22,14.491,14.491,14.423,14.433
68,2016/12/23,14.588,14.607,14.423,14.462
69,2016/12/27,14.501,14.501,14.443,14.462
70,2016/12/28,14.596,14.606,14.47,14.519
71,2016/12/29,14.509,14.509,14.451,14.451
72,2016/12/30,14.432,14.587,14.432,14.528
73,2017/1/3,14.635,14.635,14.538,14.625
74,2017/1/4,14.79,14.839,14.722,14.839
75,2017/1/5,14.935,15.023,14.848,14.867
76,2017/1/6,14.906,14.916,14.848,14.887
77,2017/1/9,14.964,14.964,14.819,14.848
78,2017/1/10,14.926,14.926,14.867,14.906
79,2017/1/11,14.984,15.013,14.926,15.013
80,2017/1/12,15.1,15.1,14.964,15.052
81,2017/1/13,15.11,15.148,15.061,15.139
82,2017/1/17,15.197,15.197,15.013,15.032
83,2017/1/18,15.032,15.061,14.926,15.023
84,2017/1/19,15.168,15.216,15.013,15.09
85,2017/1/20,15.313,15.313,15.168,15.168
86,2017/1/23,15.294,15.294,15.197,15.284
87,2017/1/24,15.42,15.497,15.303,15.497
88,2017/1/25,15.817,15.865,15.73,15.855
89,2017/1/26,16.03,16.03,15.855,15.875
90,2017/1/27,15.933,15.933,15.788,15.817
91,2017/1/30,15.817,15.817,15.623,15.759
92,2017/1/31,15.836,15.836,15.7,15.797
93,2017/2/1,16.02,16.02,15.875,15.952
94,2017/2/2,15.894,15.894,15.788,15.875
95,2017/2/3,15.952,15.952,15.884,15.923
96,2017/2/6,15.894,15.894,15.73,15.836
