Date,Open,High,Low,Close
2023-06-15,29.271,29.76,29.121,29.66
2023-06-16,29.93,29.94,29.51,29.53
2023-06-20,29.391,29.391,28.972,29.221
2023-06-21,29.221,29.221,28.692,28.882
2023-06-22,28.522,28.762,28.393,28.642
2023-06-23,28.053,28.133,27.809,27.884
2023-06-26,27.954,28.158,27.674,27.704
2023-06-27,27.854,28.173,27.659,28.123
2023-06-28,28.057,28.453,28.043,28.353
2023-06-29,28.366,28.416,28.178,28.296
2023-06-30,28.616,28.906,28.606,28.736
2023-07-03,28.916,28.946,28.776,28.866
2023-07-05,28.586,28.676,28.436,28.526
2023-07-06,28.176,28.176,27.636,27.946
2023-07-07,27.946,28.486,27.896,28.206
2023-07-10,28.076,28.566,28.076,28.566
2023-07-11,28.746,28.896,28.626,28.886
2023-07-12,29.096,29.303,29.056,29.246
2023-07-13,29.646,29.916,29.526,29.866
2023-07-14,29.806,29.866,29.326,29.406
2023-07-17,29.496,29.836,29.326,29.776
2023-07-18,29.956,30.196,29.711,30.126
2023-07-19,30.256,30.256,29.846,29.936
2023-07-20,29.726,29.726,29.046,29.126
2023-07-21,29.206,29.346,28.906,28.936
2023-07-24,29.086,29.096,28.676,28.716
2023-07-25,28.836,29.206,28.751,29.056
2023-07-26,29.076,29.381,28.916,29.246
2023-07-27,29.726,29.776,28.886,28.966
2023-07-28,29.266,29.266,28.946,29.066
2023-07-31,29.016,29.146,28.856,29.136
2023-08-01,28.876,28.896,28.438,28.726
2023-08-02,28.266,28.276,27.506,27.706
2023-08-03,27.436,27.716,27.246,27.556
2023-08-04,27.866,27.936,27.481,27.526
2023-08-07,27.726,27.726,27.396,27.606
2023-08-08,27.316,27.316,26.946,27.116
2023-08-09,26.971,26.986,26.406,26.516
2023-08-10,26.756,27.026,26.476,26.566
2023-08-11,26.366,26.446,26.196,26.286
2023-08-14,26.156,26.586,26.016,26.586
2023-08-15,26.476,26.636,26.276,26.286
2023-08-16,26.186,26.216,25.806,25.806
2023-08-17,25.876,25.926,25.316,25.376
2023-08-18,25.106,25.496,25.096,25.416
2023-08-21,25.456,25.746,25.316,25.696
2023-08-22,25.966,25.966,25.516,25.566
2023-08-23,25.746,26.167,25.701,26.106
2023-08-24,26.386,26.386,25.626,25.646
2023-08-25,25.736,25.996,25.411,25.776
2023-08-28,26.006,26.171,25.871,26.126
2023-08-29,26.006,26.633,25.906,26.606
2023-08-30,26.706,26.916,26.606,26.826
2023-08-31,26.886,26.956,26.666,26.726
2023-09-01,26.996,27.046,26.646,26.726
2023-09-05,26.696,26.696,26.451,26.576
2023-09-06,26.526,26.696,26.301,26.456
2023-09-07,26.206,26.206,25.886,26.146
2023-09-08,26.086,26.136,25.836,25.866
2023-09-11,26.056,26.056,25.746,25.956
2023-09-12,25.736,25.996,25.646,25.786
2023-09-13,25.656,25.756,25.546,25.626
2023-09-14,25.876,25.935,25.636,25.786
2023-09-15,25.746,25.786,25.336,25.416
2023-09-18,25.296,25.577,25.296,25.506
2023-09-19,25.456,25.456,25.196,25.366
2023-09-20,25.566,25.666,25.061,25.086
2023-09-21,24.747,24.747,24.447,24.457
2023-09-22,24.647,24.747,24.497,24.567
2023-09-25,24.407,24.617,24.327,24.617
2023-09-26,24.297,24.417,24.087,24.117
2023-09-27,24.357,24.507,24.142,24.407
2023-09-28,24.547,24.817,24.387,24.707
2023-09-29,25.026,25.051,24.652,24.717
2023-10-02,24.797,24.897,24.602,24.697
2023-10-03,24.407,24.537,24.027,24.137
2023-10-04,24.237,24.37,24.017,24.347
2023-10-05,24.377,24.487,24.204,24.427
2023-10-06,24.177,24.767,24.127,24.727
2023-10-09,24.527,24.677,24.322,24.597
2023-10-10,24.657,25.046,24.657,24.897
2023-10-11,24.927,24.996,24.582,24.757
2023-10-12,24.927,24.996,24.49,24.527
2023-10-13,24.527,24.647,24.207,24.287
2023-10-16,24.207,24.537,24.177,24.497
2023-10-17,24.217,24.667,24.117,24.477
2023-10-18,24.127,24.157,23.682,23.707
2023-10-19,23.737,23.892,23.467,23.517
2023-10-20,23.297,23.347,22.977,23.047
2023-10-23,22.867,23.357,22.777,23.147
2023-10-24,23.197,23.387,23.137,23.327
2023-10-25,23.247,23.327,22.737,22.737
2023-10-26,22.617,22.797,22.273,22.407
2023-10-27,22.627,22.627,22.257,22.337
2023-10-30,22.607,22.698,22.397,22.527
2023-10-31,22.557,22.817,22.467,22.767
2023-11-01,22.817,23.107,22.769,23.097
2023-11-02,23.557,23.877,23.547,23.847
2023-11-03,24.207,24.507,24.107,24.447
2023-11-06,24.727,24.727,24.282,24.427
2023-11-07,24.267,24.497,24.227,24.387
2023-11-08,24.297,24.427,24.187,24.307
2023-11-09,24.617,24.737,24.157,24.187
2023-11-10,24.317,24.567,24.157,24.567
2023-11-13,24.487,24.662,24.367,24.607
2023-11-14,25.296,25.546,25.207,25.526
2023-11-15,25.726,25.911,25.55,25.636
2023-11-16,25.536,25.686,25.451,25.676
2023-11-17,25.786,25.906,25.746,25.846
2023-11-20,25.976,26.316,25.922,26.226
2023-11-21,26.226,26.346,26.146,26.256
2023-11-22,26.396,26.476,26.066,26.246
2023-11-24,26.196,26.286,26.136,26.236
2023-11-27,26.186,26.284,26.086,26.246
2023-11-28,26.136,26.286,26.056,26.156
2023-11-29,26.436,26.686,26.436,26.526
2023-11-30,26.706,26.706,26.356,26.426
2023-12-01,26.376,27.031,26.316,27.026
2023-12-04,26.686,26.866,26.479,26.716
2023-12-05,26.556,26.646,26.386,26.566
2023-12-06,26.796,26.846,26.346,26.356
2023-12-07,26.396,26.554,26.236,26.546
2023-12-08,26.506,26.766,26.376,26.716
2023-12-11,26.726,26.871,26.666,26.836
2023-12-12,26.796,26.976,26.676,26.976
2023-12-13,27.006,27.486,26.731,27.436
2023-12-14,27.706,28.026,27.616,27.916
